# This file contains the sensor readings, joystick readings, and wheel motor current (control input) alon with time stamps for ease of plotting
# Sit mode gains: Kp_sit=0.000000, Kv_sit=20.000000
# To-Sit mode gains: K_TH_toSit=240.000000, K_DTH_toSit=60.000000
# Balance mode gains: KP_TH=270.083300, KD_TH=38.693500, KP_WH=0.000000, KD_WH=15.849800, KP_LR=15.000000, KD_LR=15.000000
# 1.time 2.error_th 3.rawImuPos 4.rawImuVel 5.rawLWhPos 6.rawLWhVel 7.rawRWhPos 8.rawRWhVel 9.rawWaistPos 10.rawWaistVel	11.filtImuPos 12.filtImuVel 13.filtLWhPos 14.filtLWhVel 15.filtRWhPos 16.filtRWhVel 17.filtWaistPos 18.filtWaistVel 19.avgWhPos 20.avgWhVel 21.jsFB 22.jsLR 23.refLWhPos 24.refLWhVel 25.refRWhPos 26.refRWhVel27.avgRefWhPos 28.avgRefWhVel 29.cmdLWhCur 30.cmdRWhCur 31.rawLWhCur 32.rawRWhCur 33.mode 34.spin 35.spinSpeed 36.spinRef 37.spinSpeedRef 38.X 39.Y
00000.02094 -00.02700 -00.20924 -00.00583 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21223 -00.00662 -02.42384 000.27842 -03.04952 000.35095 002.04204 000.00000 -02.73668 000.31468 -0.000 00.000 -02.42384 000.00000 -03.04952 000.00000 -02.73783 000.00000 000.000 000.000 000.023 000.031 3 -00.23999 000.02782  -0.24009   0.00000   0.000   0.001
00000.03705 -00.02706 -00.21498 -00.00375 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21228 -00.00403 -02.40186 000.81220 -03.02185 001.02290 002.04204 000.00000 -02.71185 000.91755 -0.000 00.000 -02.40186 000.00000 -03.02185 000.00000 -02.71513 000.00000 000.000 000.000 -00.038 000.046 3 -00.23780 000.08082  -0.23809   0.00000   0.001   0.003
00000.05345 -00.02708 -00.20556 000.00365 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21231 -00.00258 -02.35777 001.38896 -02.96640 001.74785 002.04204 000.00000 -02.66208 001.56841 -0.000 00.000 -02.35777 000.00000 -02.96640 000.00000 -02.66745 000.00000 000.000 000.000 000.031 000.023 3 -00.23345 000.13766  -0.23392   0.00000   0.002   0.009
00000.07013 -00.02715 -00.20632 000.00671 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21238 -00.00378 -02.29177 001.90487 -02.88341 002.39591 002.04204 000.00000 -02.58759 002.15039 -0.000 00.000 -02.29177 000.00000 -02.88341 000.00000 -02.59529 000.00000 000.000 000.000 000.015 -00.031 3 -00.22693 000.18834  -0.22760   0.00000   0.004   0.017
00000.08611 -00.02715 -00.21382 000.00069 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21238 -00.00051 -02.20846 002.31057 -02.77860 002.90686 002.04204 000.00000 -02.49353 002.60872 -0.000 00.000 -02.20846 000.00000 -02.77860 000.00000 -02.50327 000.00000 000.000 000.000 000.008 -00.015 3 -00.21869 000.22871  -0.21954   0.00000   0.006   0.027
00000.10253 -00.02721 -00.21340 -00.00138 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21244 -00.00221 -02.10864 002.60112 -02.65308 003.27167 002.04204 000.00000 -02.38086 002.93639 -0.000 00.000 -02.10864 000.00000 -02.65308 000.00000 -02.39174 000.00000 000.000 000.000 000.008 000.015 3 -00.20883 000.25719  -0.20978   0.00000   0.009   0.039
00000.11836 -00.02731 -00.21270 -00.01451 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21253 -00.00624 -01.99867 002.77790 -02.51470 003.49383 002.04204 000.00000 -02.25668 003.13587 -0.000 00.000 -01.99867 000.00000 -02.51470 000.00000 -02.26844 000.00000 000.000 000.000 -00.031 000.008 3 -00.19793 000.27460  -0.19896   0.00000   0.011   0.051
00000.13508 -00.02730 -00.21532 000.00701 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21252 -00.00045 -01.87784 002.84951 -02.36268 003.58524 002.04204 000.00000 -02.12026 003.21737 -0.000 00.000 -01.87784 000.00000 -02.36268 000.00000 -02.13288 000.00000 000.000 000.000 000.023 -00.038 3 -00.18597 000.28220  -0.18707   0.00000   0.014   0.065
00000.15106 -00.02735 -00.20910 -00.00197 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21257 -00.00254 -01.75410 002.84692 -02.20698 003.58171 002.04204 000.00000 -01.98054 003.21431 -0.000 00.000 -01.75410 000.00000 -02.20698 000.00000 -01.99332 000.00000 000.000 000.000 000.008 -00.023 3 -00.17371 000.28184  -0.17483   0.00000   0.017   0.079
00000.16696 -00.02735 -00.20805 -00.00030 000.00000 000.00000 000.00000 -00.00000 002.04204 000.00000 -00.21257 -00.00145 -01.62869 002.78662 -02.04927 003.50551 002.04204 000.00000 -01.83898 003.14606 -0.000 00.000 -01.62869 000.00000 -02.04927 000.00000 -01.85195 000.00000 000.000 000.000 000.000 000.031 3 -00.16132 000.27574  -0.16245   0.00000   0.019   0.092
