# This file contains the sensor readings, joystick readings, and wheel motor current (control input) alon with time stamps for ease of plotting
# Sit mode gains: Kp_sit=0.000000, Kv_sit=20.000000
# To-Sit mode gains: K_TH_toSit=240.000000, K_DTH_toSit=60.000000
# Balance mode gains: KP_TH=300.083300, KD_TH=38.693500, KP_WH=0.000000, KD_WH=0.000000, KP_LR=15.000000, KD_LR=15.000000
# 1.time 2.error_th 3.rawImuPos 4.rawImuVel 5.rawLWhPos 6.rawLWhVel 7.rawRWhPos 8.rawRWhVel 9.rawWaistPos 10.rawWaistVel	11.filtImuPos 12.filtImuVel 13.filtLWhPos 14.filtLWhVel 15.filtRWhPos 16.filtRWhVel 17.filtWaistPos 18.filtWaistVel 19.avgWhPos 20.avgWhVel 21.jsFB 22.jsLR 23.refLWhPos 24.refLWhVel 25.refRWhPos 26.refRWhVel27.avgRefWhPos 28.avgRefWhVel 29.cmdLWhCur 30.cmdRWhCur 31.rawLWhCur 32.rawRWhCur 33.mode 34.spin 35.spinSpeed 36.spinRef 37.spinSpeedRef 38.X 39.Y 40.KP_TH 41.KD_TH 42.KP_WH43.KD_WH 44.KP_LR 45.KD_LR
01386.13138 000.00363 -00.17960 -00.03031 -02.60490 -00.01641 -00.68361 -00.02280 002.04541 000.00000 -00.18166 -00.02122 -02.60111 -00.00188 -00.67961 -00.00385 002.04541 000.00000 -01.64036 -00.00286 -0.000 -0.005 -00.99997 -00.01031 001.00187 000.01031 000.00095 000.00000 000.139 000.294 000.200 000.392 6 000.73701 -00.00076 000.76782 000.00000 000.202 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.14230 000.00338 -00.17409 -00.02133 -02.60501 -00.01456 -00.68372 -00.01989 002.04541 000.00000 -00.18191 -00.02269 -02.60145 -00.00520 -00.68001 -00.00779 002.04541 000.00000 -01.64073 -00.00650 -0.000 -0.005 -01.00008 -00.01031 001.00198 000.01031 000.00095 000.00000 000.005 000.159 000.115 000.223 6 000.73699 -00.00099 000.76791 000.00000 000.202 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.15351 000.00322 -00.17601 -00.03406 -02.60501 -00.00566 -00.68382 -00.01008 002.04541 000.00000 -00.18208 -00.02286 -02.60136 -00.00432 -00.67998 -00.00733 002.04541 000.00000 -01.64067 -00.00583 -0.000 -0.005 -01.00020 -00.01031 001.00209 000.01031 000.00095 000.00000 -00.051 000.104 000.008 000.223 6 000.73697 -00.00115 000.76799 000.00000 000.202 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.16434 000.00291 -00.17455 -00.03090 -02.60511 -00.00856 -00.68382 -00.00523 002.04541 000.00000 -00.18238 -00.02723 -02.60156 -00.00282 -00.68019 -00.00532 002.04541 000.00000 -01.64087 -00.00407 -0.000 -0.005 -01.00031 -00.01031 001.00221 000.01031 000.00095 000.00000 -00.320 -00.165 -00.185 000.038 6 000.73696 -00.00096 000.76808 000.00000 000.202 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.17551 000.00260 -00.18259 -00.02024 -02.60532 -00.02232 -00.68403 -00.03341 002.04541 000.00000 -00.18270 -00.02974 -02.60159 -00.00276 -00.68030 -00.00651 002.04541 000.00000 -01.64094 -00.00464 -0.000 -0.005 -01.00043 -00.01031 001.00232 000.01031 000.00095 000.00000 -00.515 -00.360 -00.646 -00.262 6 000.73693 -00.00144 000.76817 000.00000 000.202 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.18644 000.00228 -00.18406 -00.03337 -02.60564 -00.03734 -00.68497 -00.07913 002.04541 000.00000 -00.18302 -00.02820 -02.60225 -00.01159 -00.68133 -00.02312 002.04541 000.00000 -01.64179 -00.01736 -0.000 -0.005 -01.00054 -00.01031 001.00243 000.01031 000.00095 000.00000 -00.547 -00.393 -00.562 -00.400 6 000.73679 -00.00442 000.76826 000.00000 000.202 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.19749 000.00186 -00.18143 -00.03939 -02.60606 -00.03570 -00.68550 -00.05070 002.04541 000.00000 -00.18343 -00.03629 -02.60265 -00.01233 -00.68201 -00.02701 002.04541 000.00000 -01.64233 -00.01967 -0.000 -0.005 -01.00065 -00.01031 001.00255 000.01031 000.00095 000.00000 -01.000 -00.845 -00.600 -00.438 6 000.73669 -00.00563 000.76834 000.00000 000.203 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.20846 000.00158 -00.18625 -00.03159 -02.60658 -00.07031 -00.68612 -00.05319 002.04541 000.00000 -00.18372 -00.03282 -02.60317 -00.02232 -00.68248 -00.03140 002.04541 000.00000 -01.64282 -00.02686 -0.000 -0.005 -01.00077 -00.01031 001.00266 000.01031 000.00095 000.00000 -00.945 -00.790 -00.915 -00.808 6 000.73670 -00.00348 000.76843 000.00000 000.203 -00.404 297.1 040.7 00.0 00.0 15.0 15.0
01386.21946 000.00125 -00.17776 -00.03377 -02.60710 -00.04981 -00.68665 -00.04744 002.04541 000.00000 -00.18405 -00.03432 -02.60365 -00.02835 -00.68293 -00.03402 002.04541 000.00000 -01.64329 -00.03119 -0.000 -0.005 -01.00088 -00.01031 001.00277 000.01031 000.00095 000.00000 -01.104 -00.949 -01.023 -00.877 6 000.73672 -00.00217 000.76852 000.00000 000.203 -00.405 297.1 040.7 00.0 00.0 15.0 15.0
01386.23057 000.00094 -00.17852 -00.02370 -02.60763 -00.02980 -00.68707 -00.00716 002.04541 000.00000 -00.18436 -00.03322 -02.60398 -00.03023 -00.68328 -00.03472 002.04541 000.00000 -01.64363 -00.03248 -0.000 -0.005 -01.00099 -00.01031 001.00289 000.01031 000.00095 000.00000 -01.151 -00.997 -01.254 -01.000 6 000.73670 -00.00172 000.76860 000.00000 000.203 -00.405 297.1 040.7 00.0 00.0 15.0 15.0
