# This file contains the sensor readings, joystick readings, and wheel motor current (control input) alon with time stamps for ease of plotting
# Sit mode gains: Kp_sit=0.000000, Kv_sit=20.000000
# To-Sit mode gains: K_TH_toSit=240.000000, K_DTH_toSit=60.000000
# Balance mode gains: KP_TH=270.000000, KD_TH=0.000000, KP_WH=0.000000, KD_WH=0.000000, KP_LR=0.000000, KD_LR=0.000000
# 1.time 2.error_th 3.rawImuPos 4.rawImuVel 5.rawLWhPos 6.rawLWhVel 7.rawRWhPos 8.rawRWhVel 9.rawWaistPos 10.rawWaistVel	11.filtImuPos 12.filtImuVel 13.filtLWhPos 14.filtLWhVel 15.filtRWhPos 16.filtRWhVel 17.filtWaistPos 18.filtWaistVel 19.avgWhPos 20.avgWhVel 21.jsFB 22.jsLR 23.refLWhPos 24.refLWhVel 25.refRWhPos 26.refRWhVel27.avgRefWhPos 28.avgRefWhVel 29.cmdLWhCur 30.cmdRWhCur 31.rawLWhCur 32.rawRWhCur 33.mode 34.spin 35.spinSpeed 36.spinRef 37.spinSpeedRef 38.X 39.Y
00000.02357 -00.06648 -00.24900 -00.00661 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25177 -00.00127 001.96758 -00.24529 003.43805 -00.43019 002.04541 000.00000 002.70282 -00.33774 -0.000 00.000 001.96758 000.00000 003.43805 000.00000 002.70431 000.00000 000.000 000.000 -00.015 -00.008 3 000.56402 -00.07092   0.56433   0.00000   0.000  -0.001
00000.04396 -00.06663 -00.23681 000.00681 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25193 -00.00682 001.94175 -00.76872 003.39281 -01.34782 002.04541 000.00000 002.66728 -01.05827 -0.000 00.000 001.94175 000.00000 003.39281 000.00000 002.67163 000.00000 000.000 000.000 000.031 -00.015 3 000.55657 -00.22212   0.55748   0.00000   0.002  -0.004
00000.06553 -00.06656 -00.25398 -00.00464 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25186 000.00017 001.88670 -01.32838 003.29644 -02.32453 002.04541 000.00000 002.59157 -01.82646 -0.000 00.000 001.88670 000.00000 003.29644 000.00000 002.59994 000.00000 000.000 000.000 -00.008 -00.008 3 000.54072 -00.38209   0.54247   0.00000   0.007  -0.011
00000.08556 -00.06671 -00.24554 -00.01116 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25201 -00.00668 001.80835 -01.77629 003.15940 -03.11019 002.04541 000.00000 002.48387 -02.44324 -0.000 00.000 001.80835 000.00000 003.15940 000.00000 002.49516 000.00000 000.000 000.000 000.000 000.015 3 000.51821 -00.51164   0.52058   0.00000   0.013  -0.021
00000.10623 -00.06684 -00.23584 -00.00504 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25214 -00.00627 001.70876 -02.07943 002.98489 -03.64223 002.04541 000.00000 002.34682 -02.86083 -0.000 00.000 001.70876 000.00000 002.98489 000.00000 002.36057 000.00000 000.000 000.000 -00.008 -00.015 3 000.48948 -00.59943   0.49236   0.00000   0.020  -0.034
00000.12652 -00.06671 -00.25092 000.01303 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25200 000.00513 001.59469 -02.25280 002.78525 -03.93977 002.04541 000.00000 002.18997 -03.09628 -0.000 00.000 001.59469 000.00000 002.78525 000.00000 002.20542 000.00000 000.000 000.000 000.015 000.023 3 000.45665 -00.64706   0.45988   0.00000   0.027  -0.049
00000.14696 -00.06679 -00.24353 -00.00731 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25208 -00.00416 001.47088 -02.29284 002.56862 -04.01461 002.04541 000.00000 002.01975 -03.15372 -0.000 00.000 001.47088 000.00000 002.56862 000.00000 002.03577 000.00000 000.000 000.000 000.000 -00.015 3 000.42105 -00.66040   0.42440   0.00000   0.034  -0.064
00000.16727 -00.06687 -00.25196 -00.00336 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25217 -00.00417 001.34308 -02.25269 002.34522 -03.94166 002.04541 000.00000 001.84415 -03.09718 -0.000 00.000 001.34308 000.00000 002.34522 000.00000 001.86058 000.00000 000.000 000.000 -00.015 -00.023 3 000.38438 -00.64783   0.38781   0.00000   0.041  -0.080
00000.18762 -00.06683 -00.25066 000.00405 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25213 000.00083 001.21579 -02.15104 002.12268 -03.76066 002.04541 000.00000 001.66924 -02.95585 -0.000 00.000 001.21579 000.00000 002.12268 000.00000 001.68507 000.00000 000.000 000.000 -00.015 000.015 3 000.34785 -00.61739   0.35115   0.00000   0.047  -0.095
00000.20790 -00.06682 -00.24272 -00.00178 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25212 000.00003 001.09268 -02.00758 001.90762 -03.50949 002.04541 000.00000 001.50015 -02.75854 -0.000 00.000 001.09268 000.00000 001.90762 000.00000 001.51477 000.00000 000.000 000.000 -00.038 000.008 3 000.31258 -00.57608   0.31564   0.00000   0.052  -0.110
