# This file contains the sensor readings, joystick readings, and wheel motor current (control input) alon with time stamps for ease of plotting
# Sit mode gains: Kp_sit=0.000000, Kv_sit=20.000000
# To-Sit mode gains: K_TH_toSit=240.000000, K_DTH_toSit=60.000000
# Balance mode gains: KP_TH=0.000000, KD_TH=60.000000, KP_WH=0.000000, KD_WH=0.000000, KP_LR=0.000000, KD_LR=0.000000
# 1.time 2.error_th 3.rawImuPos 4.rawImuVel 5.rawLWhPos 6.rawLWhVel 7.rawRWhPos 8.rawRWhVel 9.rawWaistPos 10.rawWaistVel	11.filtImuPos 12.filtImuVel 13.filtLWhPos 14.filtLWhVel 15.filtRWhPos 16.filtRWhVel 17.filtWaistPos 18.filtWaistVel 19.avgWhPos 20.avgWhVel 21.jsFB 22.jsLR 23.refLWhPos 24.refLWhVel 25.refRWhPos 26.refRWhVel27.avgRefWhPos 28.avgRefWhVel 29.cmdLWhCur 30.cmdRWhCur 31.rawLWhCur 32.rawRWhCur 33.mode 34.spin 35.spinSpeed 36.spinRef 37.spinSpeedRef 38.X 39.Y
00000.02356 -00.06463 -00.24270 -00.00049 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.24993 -00.00352 001.96770 -00.24171 003.43809 -00.42010 002.04541 000.00000 002.70289 -00.33090 -0.000 00.000 001.96770 000.00000 003.43809 000.00000 002.70438 000.00000 000.000 000.000 -00.031 -00.015 3 000.56399 -00.06842   0.56430   0.00000   0.000  -0.001
00000.04453 -00.06464 -00.24740 000.00030 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.24994 -00.00085 001.94158 -00.76753 003.39246 -01.33982 002.04541 000.00000 002.66702 -01.05368 -0.000 00.000 001.94158 000.00000 003.39246 000.00000 002.67181 000.00000 000.000 000.000 000.015 -00.000 3 000.55650 -00.21951   0.55750   0.00000   0.002  -0.004
00000.06517 -00.06470 -00.24161 -00.00652 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25000 -00.00363 001.88840 -01.31440 003.29942 -02.29907 002.04541 000.00000 002.59391 -01.80674 -0.000 00.000 001.88840 000.00000 003.29942 000.00000 002.60210 000.00000 000.000 000.000 -00.069 -00.008 3 000.54121 -00.37768   0.54293   0.00000   0.007  -0.011
00000.08560 -00.06470 -00.25046 -00.00109 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25000 -00.00072 001.81020 -01.76646 003.16260 -03.08904 002.04541 000.00000 002.48640 -02.42775 -0.000 00.000 001.81020 000.00000 003.16260 000.00000 002.49756 000.00000 000.000 000.000 -00.015 -00.000 3 000.51873 -00.50729   0.52106   0.00000   0.013  -0.021
00000.10605 -00.06479 -00.24316 -00.00968 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25009 -00.00505 001.71108 -02.07433 002.98931 -03.62917 002.04541 000.00000 002.35019 -02.85175 -0.000 00.000 001.71108 000.00000 002.98931 000.00000 002.36400 000.00000 000.000 000.000 000.077 -00.000 3 000.49028 -00.59638   0.49317   0.00000   0.020  -0.034
00000.12653 -00.06479 -00.23737 000.00217 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25009 -00.00024 001.59677 -02.24456 002.78926 -03.92540 002.04541 000.00000 002.19301 -03.08498 -0.000 00.000 001.59677 000.00000 002.78926 000.00000 002.20777 000.00000 000.000 000.000 000.000 -00.015 3 000.45739 -00.64471   0.46049   0.00000   0.027  -0.048
00000.14676 -00.06475 -00.24697 -00.00474 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25005 000.00027 001.47369 -02.29443 002.57382 -04.01391 002.04541 000.00000 002.02376 -03.15417 -0.000 00.000 001.47369 000.00000 002.57382 000.00000 002.03916 000.00000 000.000 000.000 -00.085 000.008 3 000.42197 -00.65953   0.42519   0.00000   0.034  -0.064
00000.16677 -00.06482 -00.25073 000.00010 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25012 -00.00353 001.34723 -02.25498 002.35253 -03.94690 002.04541 000.00000 001.84988 -03.10094 -0.000 00.000 001.34723 000.00000 002.35253 000.00000 001.86564 000.00000 000.000 000.000 -00.023 -00.015 3 000.38559 -00.64896   0.38888   0.00000   0.041  -0.079
00000.18683 -00.06487 -00.24725 000.01511 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25016 -00.00320 001.22123 -02.15525 002.13208 -03.77190 002.04541 000.00000 001.67666 -02.96357 -0.000 00.000 001.22123 000.00000 002.13208 000.00000 001.69203 000.00000 000.000 000.000 -00.015 -00.023 3 000.34937 -00.62008   0.35258   0.00000   0.047  -0.094
00000.20718 -00.06470 -00.23949 000.00099 000.00000 000.00000 000.00000 -00.00000 002.04541 000.00000 -00.25000 000.00319 001.09879 -02.01607 001.91781 -03.52640 002.04541 000.00000 001.50830 -02.77124 -0.000 00.000 001.09879 000.00000 001.91781 000.00000 001.52328 000.00000 000.000 000.000 000.000 000.008 3 000.31415 -00.57931   0.31729   0.00000   0.052  -0.109
