# This file contains the sensor readings, joystick readings, and wheel motor current (control input) alon with time stamps for ease of plotting
# Sit mode gains: Kp_sit=0.000000, Kv_sit=20.000000
# To-Sit mode gains: K_TH_toSit=240.000000, K_DTH_toSit=60.000000
# Balance mode gains: KP_TH=0.000000, KD_TH=0.000000, KP_WH=0.000000, KD_WH=6.000000, KP_LR=0.000000, KD_LR=0.000000
# 1.time 2.error_th 3.rawImuPos 4.rawImuVel 5.rawLWhPos 6.rawLWhVel 7.rawRWhPos 8.rawRWhVel 9.rawWaistPos 10.rawWaistVel	11.filtImuPos 12.filtImuVel 13.filtLWhPos 14.filtLWhVel 15.filtRWhPos 16.filtRWhVel 17.filtWaistPos 18.filtWaistVel 19.avgWhPos 20.avgWhVel 21.jsFB 22.jsLR 23.refLWhPos 24.refLWhVel 25.refRWhPos 26.refRWhVel27.avgRefWhPos 28.avgRefWhVel 29.cmdLWhCur 30.cmdRWhCur 31.rawLWhCur 32.rawRWhCur 33.mode 34.spin 35.spinSpeed 36.spinRef 37.spinSpeedRef 38.X 39.Y
00000.02415 -00.32511 -00.51905 -00.00543 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51041 000.00196 002.47226 -00.32374 004.15868 -00.54616 002.04541 000.00000 003.31547 -00.43495 -0.000 00.000 002.47226 000.00000 004.15868 000.00000 003.31744 000.00000 000.000 000.000 000.023 000.031 3 000.64685 -00.08531   0.64723   0.00000   0.001  -0.001
00000.04487 -00.32512 -00.52737 000.00247 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51042 000.00089 002.43788 -01.00501 004.10094 -01.68858 002.04541 000.00000 003.26941 -01.34679 -0.000 00.000 002.43788 000.00000 004.10094 000.00000 003.27520 000.00000 000.000 000.000 000.031 000.046 3 000.63789 -00.26219   0.63901   0.00000   0.004  -0.005
00000.06558 -00.32528 -00.51565 -00.00464 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51058 -00.00766 002.36855 -01.69973 003.98443 -02.85916 002.04541 000.00000 003.17649 -02.27945 -0.000 00.000 002.36855 000.00000 003.98443 000.00000 003.18623 000.00000 000.000 000.000 -00.031 000.031 3 000.61979 -00.44471   0.62169   0.00000   0.010  -0.013
00000.09503 -00.32542 -00.51209 -00.00247 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51071 -00.00360 002.23639 -02.23372 003.76221 -03.75514 002.04541 000.00000 002.99930 -02.99443 -0.000 00.000 002.23639 000.00000 003.76221 000.00000 003.01509 000.00000 000.000 000.000 -00.031 000.023 3 000.58525 -00.58356   0.58833   0.00000   0.021  -0.030
00000.11567 -00.32556 -00.51216 -00.01491 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51086 -00.00519 002.09244 -02.63690 003.52035 -04.43197 002.04541 000.00000 002.80640 -03.53444 -0.000 00.000 002.09244 000.00000 003.52035 000.00000 002.82462 000.00000 000.000 000.000 -00.008 -00.000 3 000.54769 -00.68852   0.55124   0.00000   0.031  -0.045
00000.13577 -00.32575 -00.51714 -00.00454 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51105 -00.00648 001.93415 -02.84519 003.25429 -04.78210 002.04541 000.00000 002.59422 -03.81365 -0.000 00.000 001.93415 000.00000 003.25429 000.00000 002.61449 000.00000 000.000 000.000 000.023 -00.031 3 000.50636 -00.74293   0.51030   0.00000   0.041  -0.063
00000.15763 -00.32579 -00.51076 000.01896 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51108 000.00055 001.76204 -02.86614 002.96500 -04.81450 002.04541 000.00000 002.36352 -03.84032 -0.000 00.000 001.76204 000.00000 002.96500 000.00000 002.38462 000.00000 000.000 000.000 -00.015 -00.023 3 000.46141 -00.74732   0.46553   0.00000   0.051  -0.082
00000.17780 -00.32574 -00.52198 -00.00069 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51104 -00.00010 001.59416 -02.78133 002.68281 -04.67365 002.04541 000.00000 002.13849 -03.72749 -0.000 00.000 001.59416 000.00000 002.68281 000.00000 002.15961 000.00000 000.000 000.000 -00.008 000.031 3 000.41756 -00.72582   0.42167   0.00000   0.060  -0.101
00000.19746 -00.32580 -00.51324 -00.01412 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51110 -00.00230 001.43268 -02.62920 002.41157 -04.41843 002.04541 000.00000 001.92213 -03.52381 -0.000 00.000 001.43268 000.00000 002.41157 000.00000 001.94112 000.00000 000.000 000.000 000.023 -00.000 3 000.37547 -00.68628   0.37917   0.00000   0.067  -0.118
00000.21722 -00.32578 -00.51698 -00.00968 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51107 000.00027 001.28038 -02.43453 002.15544 -04.09150 002.04541 000.00000 001.71791 -03.26302 -0.000 00.000 001.28038 000.00000 002.15544 000.00000 001.73561 000.00000 000.000 000.000 -00.015 000.038 3 000.33564 -00.63555   0.33909   0.00000   0.073  -0.135
00000.23721 -00.32584 -00.51668 -00.00099 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51114 -00.00093 001.13821 -02.21868 001.91663 -03.72840 002.04541 000.00000 001.52742 -02.97354 -0.000 00.000 001.13821 000.00000 001.91663 000.00000 001.54373 000.00000 000.000 000.000 000.023 000.031 3 000.29857 -00.57907   0.30175   0.00000   0.079  -0.151
00000.25724 -00.32598 -00.51521 -00.00691 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51127 -00.00451 001.00805 -01.99630 001.69800 -03.35559 002.04541 000.00000 001.35303 -02.67595 -0.000 00.000 001.00805 000.00000 001.69800 000.00000 001.36790 000.00000 000.000 000.000 -00.008 000.031 3 000.26464 -00.52137   0.26754   0.00000   0.083  -0.165
00000.27739 -00.32609 -00.51790 000.00592 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51139 -00.00244 000.89035 -01.78387 001.50009 -02.99751 002.04541 000.00000 001.19522 -02.39069 -0.000 00.000 000.89035 000.00000 001.50009 000.00000 001.20870 000.00000 000.000 000.000 000.031 000.031 3 000.23388 -00.46551   0.23650   0.00000   0.086  -0.178
00000.29751 -00.32612 -00.51647 000.00415 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51142 -00.00120 000.78487 -01.58216 001.32257 -02.65938 002.04541 000.00000 001.05372 -02.12077 -0.000 00.000 000.78487 000.00000 001.32257 000.00000 001.06593 000.00000 000.000 000.000 000.008 000.015 3 000.20624 -00.41318   0.20862   0.00000   0.089  -0.190
00000.31748 -00.32626 -00.52290 000.00039 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51156 -00.00393 000.69050 -01.40014 001.16403 -02.35375 002.04541 000.00000 000.92726 -01.87694 -0.000 00.000 000.69050 000.00000 001.16403 000.00000 000.93807 000.00000 000.000 000.000 -00.031 -00.000 3 000.18163 -00.36577   0.18372   0.00000   0.091  -0.201
00000.33742 -00.32633 -00.51291 -00.00375 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51163 -00.00250 000.60658 -01.23761 001.02310 -02.07958 002.04541 000.00000 000.81484 -01.65860 -0.000 00.000 000.60658 000.00000 001.02310 000.00000 000.82428 000.00000 000.000 000.000 -00.008 -00.038 3 000.15976 -00.32294   0.16161   0.00000   0.092  -0.210
00000.35721 -00.32654 -00.51079 -00.00987 000.00000 000.00000 000.00000 000.00002 002.04541 000.00000 -00.51184 -00.00790 000.53264 -01.08758 000.89878 -01.82981 002.04541 000.00000 000.71571 -01.45870 -0.000 00.000 000.53264 000.00000 000.89878 000.00000 000.72373 000.00000 000.000 000.000 -00.008 -00.015 3 000.14044 -00.28469   0.14201   0.00000   0.093  -0.218
