# This file contains the sensor readings, joystick readings, and wheel motor current (control input) alon with time stamps for ease of plotting
# Sit mode gains: Kp_sit=0.000000, Kv_sit=20.000000
# To-Sit mode gains: K_TH_toSit=240.000000, K_DTH_toSit=60.000000
# Balance mode gains: KP_TH=309.083300, KD_TH=38.693500, KP_WH=10.000000, KD_WH=15.849800, KP_LR=15.000000
# 1.time 2.error_th 3.rawImuPos 4.rawImuVel 5.rawLWhPos 6.rawLWhVel 7.rawRWhPos 8.rawRWhVel 9.rawWaistPos 10.rawWaistVel	11.filtImuPos 12.filtImuVel 13.filtLWhPos 14.filtLWhVel 15.filtRWhPos 16.filtRWhVel 17.filtWaistPos 18.filtWaistVel 19.avgWhPos 20.avgWhVel 21.jsFB 22.jsLR 23.refLWhPos 24.refLWhVel 25.refRWhPos 26.refRWhVel27.avgRefWhPos 28.avgRefWhVel 29.cmdLWhCur 30.cmdRWhCur 31.rawLWhCur 32.rawRWhCur 33.mode
00000.15196 -00.01707 -00.20416 -00.00138 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20230 -00.00289 000.11094 -00.17514 000.03894 -00.05804 002.04204 000.00000 000.07494 -00.11659 -0.000 00.000 000.11094 000.00000 000.03894 000.00000 000.07527 000.00000 000.000 000.000 -00.008 000.008 3
00000.16300 -00.01708 -00.19826 000.00049 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20231 -00.00199 000.10565 -00.17351 000.03716 -00.05804 002.04204 000.00000 000.07141 -00.11578 -0.000 00.000 000.10565 000.00000 000.03716 000.00000 000.07172 000.00000 000.000 000.000 000.031 -00.000 3
00000.17406 -00.01708 -00.19766 000.00326 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20231 -00.00118 000.10047 -00.16944 000.03550 -00.05654 002.04204 000.00000 000.06799 -00.11299 -0.000 00.000 000.10047 000.00000 000.03550 000.00000 000.06831 000.00000 000.000 000.000 000.015 -00.008 3
00000.18504 -00.01714 -00.19502 -00.00632 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20237 -00.00450 000.09536 -00.16172 000.03385 -00.05211 002.04204 000.00000 000.06460 -00.10692 -0.000 00.000 000.09536 000.00000 000.03385 000.00000 000.06490 000.00000 000.000 000.000 000.008 -00.015 3
00000.19604 -00.01715 -00.18603 -00.01283 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20238 -00.00447 000.09073 -00.15332 000.03262 -00.04754 002.04204 000.00000 000.06167 -00.10043 -0.000 00.000 000.09073 000.00000 000.03262 000.00000 000.06192 000.00000 000.000 000.000 000.038 000.015 3
00000.20710 -00.01717 -00.19941 000.00434 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20239 -00.00246 000.08575 -00.14945 000.03098 -00.04791 002.04204 000.00000 000.05836 -00.09868 -0.000 00.000 000.08575 000.00000 000.03098 000.00000 000.05866 000.00000 000.000 000.000 000.000 -00.015 3
00000.21812 -00.01715 -00.20103 -00.00928 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20238 -00.00126 000.08104 -00.14326 000.02949 -00.04622 002.04204 000.00000 000.05527 -00.09474 -0.000 00.000 000.08104 000.00000 000.02949 000.00000 000.05557 000.00000 000.000 000.000 -00.015 000.015 3
00000.22916 -00.01718 -00.19793 000.00583 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20240 -00.00197 000.07647 -00.13594 000.02803 -00.04356 002.04204 000.00000 000.05225 -00.08975 -0.000 00.000 000.07647 000.00000 000.02803 000.00000 000.05253 000.00000 000.000 000.000 -00.031 -00.008 3
00000.24017 -00.01716 -00.20232 -00.00711 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20239 -00.00049 000.07201 -00.13022 000.02655 -00.04258 002.04204 000.00000 000.04928 -00.08640 -0.000 00.000 000.07201 000.00000 000.02655 000.00000 000.04957 000.00000 000.000 000.000 -00.031 -00.008 3
00000.25115 -00.01718 -00.19926 -00.00523 000.00000 000.00000 000.00000 000.00002 002.04204 000.00000 -00.20241 -00.00104 000.06743 -00.12466 000.02481 -00.04176 002.04204 000.00000 000.04612 -00.08321 -0.000 00.000 000.06743 000.00000 000.02481 000.00000 000.04637 000.00000 000.000 000.000 000.008 000.008 3
